Date,Adj Close
2014-03-11,15.61
2014-03-12,15.52
2014-03-13,15.38
2014-03-14,15.27
2014-03-17,15.58
2014-03-18,15.7
2014-03-19,15.64
2014-03-20,15.74
2014-03-21,16.120001000000002
2014-03-24,15.9
2014-03-25,15.58
2014-03-26,15.35
2014-03-27,15.07
2014-03-28,15.4
2014-03-31,15.54
2014-04-01,15.49
2014-04-02,15.4
2014-04-03,15.19
2014-04-04,14.84
2014-04-07,14.71
2014-04-08,14.91
2014-04-09,14.96
2014-04-10,14.72
2014-04-11,14.53
2014-04-14,14.52
2014-04-15,14.67
2014-04-16,14.72
2014-04-17,14.86
2014-04-21,14.84
2014-04-22,14.8
2014-04-23,14.88
2014-04-24,15.05
2014-04-25,14.85
2014-04-28,14.81
2014-04-29,15.46
2014-04-30,15.56
2014-05-01,15.51
2014-05-02,15.55
2014-05-05,15.58
2014-05-06,15.59
2014-05-07,15.64
2014-05-08,15.53
2014-05-09,15.48
2014-05-12,15.77
2014-05-13,15.74
2014-05-14,15.56
2014-05-15,15.55
2014-05-16,15.7
2014-05-19,15.86
2014-05-20,16.290001
2014-05-21,16.540001
2014-05-22,16.76
2014-05-23,16.940001000000002
2014-05-27,16.92
2014-05-28,16.870001000000002
2014-05-29,16.799999
2014-05-30,16.690001000000002
2014-06-02,16.57
2014-06-03,16.440001000000002
2014-06-04,16.5
2014-06-05,16.57
2014-06-06,17.059998999999998
2014-06-09,17.049999
2014-06-10,17.049999
2014-06-11,17.040001
2014-06-12,16.73
2014-06-13,16.879998999999998
2014-06-16,16.809998999999998
2014-06-17,16.93
2014-06-18,16.9
2014-06-19,16.889999
2014-06-20,17.120001000000002
2014-06-23,17.379998999999998
2014-06-24,17.129998999999998
2014-06-25,17.41
2014-06-26,17.389999
2014-06-27,17.34
2014-06-30,17.49
2014-07-01,17.559998999999998
2014-07-02,17.43
2014-07-03,17.559998999999998
2014-07-07,17.48
2014-07-08,17.219998999999998
2014-07-09,17.110001
2014-07-10,17.08
2014-07-11,17.07
2014-07-14,17.299999
2014-07-15,17.360001
2014-07-16,17.48
2014-07-17,17.299999
2014-07-18,17.24
2014-07-21,17.5
