ADEL,37.46
AEFES,192.8
AGHOL,287.5
AGROT,14.8
AKBNK,49.96
AKFGY,1.91
AKFYE,17.66
AKSA,8.26
AKSEN,34.62
ALARK,89.55
ALFAS,54.1
ALTNY,90.1
ANSGR,81.4
ARCLK,131.9
ARDYZ,30.6
ASELS,60.2
ASTOR,79.6
BERA,12.9
BIMAS,472.75
BINHO,304.75
BJKAS,4.84
BRSAN,468.75
BRYAT,1930.0
BTCIM,155.0
CANTE,1.45
CCOLA,50.1
CIMSA,32.98
CLEBI,1799.0
CWENE,180.8
DOAS,214.8
DOHOL,13.0
ECILC,39.38
EGEEN,11140.0
EKGYO,10.15
ENERY,233.2
ENJSA,57.0
ENKAI,47.92
EREGL,47.86
EUPWR,34.12
FENER,102.7
FROTO,1004.0
GARAN,110.0
GESAN,43.9
GOLTS,391.25
GUBRF,193.0
HALKB,14.71
HEKTS,3.64
ISCTR,11.79
ISMEN,33.36
KARSN,15.05
KCAER,37.1
KCHOL,172.4
KLSER,34.52
KONTR,44.04
KONYA,7062.5
KOZAA,61.0
KOZAL,20.9
KRDMD,24.52
KTLEV,52.6
LMKDC,23.16
MAVI,75.65
MGROS,417.5
MIATK,40.02
MPARK,320.5
OBAMS,37.7
ODAS,5.64
OTKAR,429.5
OYAKC,56.85
PAPIL,74.0
PEKGY,4.18
PETKM,18.94
PGSUS,238.5
REEDR,21.92
RGYAS,104.6
SAHOL,85.8
SASA,3.93
SISE,39.96
SKBNK,4.14
SMRTG,38.82
SOKM,39.94
TABGD,135.4
TAVHL,223.6
TCELL,87.7
THYAO,278.0
TKFEN,74.4
TMSN,115.2
TOASO,195.7
TSKB,11.87
TTKOM,46.2
TTRAK,718.0
TUKAS,6.6
TUPRS,149.0
TURSG,12.86
ULKER,124.4
VAKBN,21.64
VESBE,17.48
VESTL,58.25
YEOTK,182.6
YKBNK,24.76
ZOREN,4.17
