ADEL,44.02
AEFES,177.7
AGHOL,275.0
AGROT,12.77
AKBNK,46.4
AKFGY,1.91
AKFYE,17.05
AKSA,8.21
AKSEN,32.34
ALARK,83.6
ALFAS,51.05
ALTNY,94.9
ANSGR,81.8
ARCLK,124.8
ARDYZ,31.42
ASELS,65.15
ASTOR,81.25
BERA,12.38
BIMAS,460.0
BINHO,299.0
BJKAS,4.45
BRSAN,465.0
BRYAT,1898.0
BTCIM,142.6
CANTE,1.42
CCOLA,45.12
CIMSA,34.4
CLEBI,1752.0
CWENE,171.8
DOAS,205.1
DOHOL,12.88
ECILC,39.46
EGEEN,10910.0
EKGYO,9.46
ENERY,233.9
ENJSA,55.7
ENKAI,47.76
EREGL,47.76
EUPWR,35.44
FENER,99.35
FROTO,976.0
GARAN,97.75
GESAN,41.22
GOLTS,416.5
GUBRF,212.7
HALKB,14.6
HEKTS,3.36
ISCTR,10.99
ISMEN,32.16
KARSN,15.21
KCAER,35.98
KCHOL,161.7
KLSER,33.54
KONTR,41.14
KONYA,6685.0
KOZAA,57.05
KOZAL,18.94
KRDMD,25.24
KTLEV,61.25
LMKDC,22.98
MAVI,74.45
MGROS,398.0
MIATK,40.68
MPARK,332.0
OBAMS,36.66
ODAS,5.56
OTKAR,415.0
OYAKC,56.25
PAPIL,68.15
PEKGY,4.05
PETKM,17.88
PGSUS,229.1
REEDR,19.7
RGYAS,102.3
SAHOL,81.0
SASA,3.69
SISE,38.62
SKBNK,3.97
SMRTG,36.96
SOKM,39.02
TABGD,128.9
TAVHL,222.7
TCELL,83.55
THYAO,272.25
TKFEN,72.0
TMSN,117.2
TOASO,186.5
TSKB,11.73
TTKOM,45.18
TTRAK,731.0
TUKAS,6.74
TUPRS,141.1
TURSG,12.91
ULKER,113.8
VAKBN,19.33
VESBE,16.93
VESTL,55.45
YEOTK,174.8
YKBNK,23.04
ZOREN,4.05
