ADEL,35.96
AEFES,211.8
AGHOL,339.0
AGROT,12.73
AKBNK,59.2
AKFGY,2.21
AKFYE,18.8
AKSA,8.98
AKSEN,34.72
ALARK,96.4
ALFAS,52.7
ALTNY,90.0
ANSGR,88.7
ARCLK,143.5
ARDYZ,37.56
ASELS,67.55
ASTOR,99.85
BERA,14.46
BIMAS,474.25
BINHO,290.5
BJKAS,4.18
BRSAN,467.5
BRYAT,2158.0
BTCIM,140.2
CANTE,1.55
CCOLA,53.1
CIMSA,40.6
CLEBI,2197.0
CWENE,208.2
DOAS,211.5
DOHOL,14.27
ECILC,45.82
EGEEN,10887.5
EKGYO,12.0
ENERY,272.75
ENJSA,60.35
ENKAI,50.5
EREGL,50.1
EUPWR,35.7
FENER,103.0
FROTO,992.0
GARAN,120.5
GESAN,49.78
GOLTS,483.75
GUBRF,233.0
HALKB,16.21
HEKTS,3.98
ISCTR,13.62
ISMEN,39.84
KARSN,12.88
KCAER,40.7
KCHOL,198.0
KLSER,34.84
KONTR,49.38
KONYA,7085.0
KOZAA,71.2
KOZAL,21.32
KRDMD,27.0
KTLEV,57.5
LMKDC,25.64
MAVI,80.3
MGROS,486.25
MIATK,44.58
MPARK,386.75
OBAMS,42.02
ODAS,6.47
OTKAR,462.0
OYAKC,68.5
PAPIL,63.85
PEKGY,4.27
PETKM,18.36
PGSUS,227.3
REEDR,15.0
RGYAS,120.1
SAHOL,89.4
SASA,4.27
SISE,40.54
SKBNK,4.6
SMRTG,40.48
SOKM,40.58
TABGD,146.2
TAVHL,274.5
TCELL,93.05
THYAO,294.0
TKFEN,77.55
TMSN,115.1
TOASO,204.7
TSKB,12.5
TTKOM,46.7
TTRAK,765.0
TUKAS,6.71
TUPRS,147.7
TURSG,13.15
ULKER,108.8
VAKBN,23.62
VESBE,16.9
VESTL,62.2
YEOTK,214.0
YKBNK,29.58
ZOREN,4.29
