ADEL,39.28
AEFES,215.0
AGHOL,328.25
AGROT,12.2
AKBNK,55.05
AKFGY,2.13
AKFYE,18.91
AKSA,9.05
AKSEN,34.06
ALARK,94.7
ALFAS,55.15
ALTNY,89.95
ANSGR,86.0
ARCLK,140.1
ARDYZ,34.36
ASELS,67.45
ASTOR,94.6
BERA,14.3
BIMAS,459.75
BINHO,289.75
BJKAS,4.39
BRSAN,462.5
BRYAT,1986.0
BTCIM,137.3
CANTE,1.56
CCOLA,49.1
CIMSA,38.72
CLEBI,2137.0
CWENE,202.0
DOAS,208.6
DOHOL,13.74
ECILC,45.8
EGEEN,11075.0
EKGYO,11.77
ENERY,273.0
ENJSA,59.2
ENKAI,52.8
EREGL,50.5
EUPWR,36.52
FENER,111.6
FROTO,1099.0
GARAN,113.8
GESAN,52.65
GOLTS,414.5
GUBRF,206.8
HALKB,15.91
HEKTS,3.42
ISCTR,12.98
ISMEN,37.8
KARSN,12.91
KCAER,37.8
KCHOL,188.7
KLSER,33.76
KONTR,49.24
KONYA,6747.5
KOZAA,64.9
KOZAL,20.2
KRDMD,26.28
KTLEV,57.25
LMKDC,25.94
MAVI,77.25
MGROS,468.5
MIATK,44.3
MPARK,358.25
OBAMS,38.58
ODAS,6.45
OTKAR,453.0
OYAKC,64.6
PAPIL,62.2
PEKGY,4.39
PETKM,18.17
PGSUS,239.8
REEDR,15.16
RGYAS,112.8
SAHOL,85.9
SASA,3.88
SISE,40.86
SKBNK,4.16
SMRTG,39.84
SOKM,40.4
TABGD,146.0
TAVHL,259.25
TCELL,92.25
THYAO,288.75
TKFEN,81.6
TMSN,113.8
TOASO,198.9
TSKB,12.38
TTKOM,45.18
TTRAK,770.0
TUKAS,6.61
TUPRS,147.2
TURSG,12.76
ULKER,105.3
VAKBN,24.14
VESBE,17.31
VESTL,61.45
YEOTK,208.8
YKBNK,27.42
ZOREN,4.29
