,GARAN.IS
2010-09-01,5.4387617111206055
2010-09-02,5.4387617111206055
2010-09-03,5.4387617111206055
2010-09-06,5.546106338500977
2010-09-07,5.474544525146484
2010-09-08,5.474544525146484
2010-09-09,5.474544525146484
2010-09-10,5.474544525146484
2010-09-13,5.617669105529785
2010-09-14,5.6534504890441895
2010-09-15,5.832356929779053
2010-09-16,5.9039201736450195
2010-09-17,6.082826137542725
2010-09-20,6.04704475402832
2010-09-21,6.082826137542725
2010-09-22,6.1901702880859375
2010-09-23,6.118607997894287
2010-09-24,6.04704475402832
2010-09-27,6.04704475402832
2010-09-28,6.154390335083008
2010-09-29,6.118607997894287
2010-09-30,6.011263370513916
2010-10-01,5.796576023101807
2010-10-04,5.796576023101807
2010-10-05,5.9039201736450195
2010-10-06,6.082826137542725
2010-10-07,6.011263370513916
2010-10-08,6.118607997894287
2010-10-11,6.404858589172363
2010-10-12,6.4764204025268555
2010-10-13,6.4764204025268555
2010-10-14,6.225951194763184
2010-10-15,6.225951194763184
2010-10-18,6.261732578277588
2010-10-19,6.369076728820801
2010-10-20,6.1901702880859375
2010-10-21,6.404858589172363
2010-10-22,6.547983169555664
2010-10-25,6.512202739715576
2010-10-26,6.440639495849609
2010-10-27,6.261732578277588
2010-10-28,6.297514915466309
2010-10-29,6.297514915466309
2010-11-01,6.383389949798584
2010-11-02,6.211639404296875
2010-11-03,6.154390335083008
2010-11-04,6.512202739715576
2010-11-05,6.497889518737793
2010-11-08,6.655327796936035
2010-11-09,6.712578296661377
2010-11-10,6.483577728271484
2010-11-11,6.3261399269104
2010-11-12,6.268890380859375
2010-11-15,6.340451240539551
2010-11-16,6.340451240539551
2010-11-17,6.340451240539551
2010-11-18,6.340451240539551
2010-11-19,6.340451240539551
2010-11-22,6.082826137542725
2010-11-23,6.0685133934021
2010-11-24,6.154390335083008
2010-11-25,6.154390335083008
2010-11-26,5.982638835906982
2010-11-29,5.753637790679932
2010-11-30,5.968326568603516
2010-12-01,6.140076637268066
2010-12-02,6.283201694488525
2010-12-03,6.111451625823975
2010-12-06,6.240264415740967
2010-12-07,6.254576683044434
2010-12-08,6.225951194763184
2010-12-09,6.025576591491699
2010-12-10,5.825201511383057
2010-12-13,5.939701557159424
2010-12-14,5.911076545715332
2010-12-15,5.767950057983398
2010-12-16,5.610512733459473
2010-12-17,5.5103254318237305
2010-12-20,5.453074932098389
2010-12-21,5.596199989318848
2010-12-22,5.639138698577881
2010-12-23,5.696389198303223
2010-12-24,5.696389198303223
